@relation GENERATED
@attribute A1 numeric
@attribute A2 numeric
@attribute DEC {MIN, MAJ}
@data
[4.903603857137674, 3.2119516865492193], MIN
[5.139306117533191, 7.2188901132729875], MIN
[3.4304647296657, 3.6244306422413723], MIN
[5.496277419505841, 5.619674865660634], MIN
[5.470088279461895, 4.231650443331485], MIN
[3.849635239242723, 3.5540064446943775], MIN
[5.420983641879496, 4.811085166803795], MIN
[3.771067819110885, 5.046787427199311], MIN
[5.656685902275012, 5.989596468781373], MIN
[-3.315161959969064, 2.4203396587977966], MIN
[-6.909621431000681, 4.129181046665286], MIN
[-5.102570767968393, 1.693591022578289], MIN
[-4.277612856584087, 4.639869277522237], MIN
[-6.283175638136814, 3.466643387590021], MIN
[-3.926153034181655, 2.9952388667989895], MIN
[-5.104664336159233, 3.230941127194505], MIN
[-5.0490124135658485, 2.7562629638979805], MIN
[-5.913254035016073, 3.3062349048208506], MIN
[-5.7954029048183155, 4.131192816205155], MIN
[0.3785749264061451, -3.708324451403327], MIN
[-1.871425073593855, -4.202151611897154], MIN
[-2.808925073593855, -4.646596056341598], MIN
[1.3551019616425037, -4.420922473892873], MIN
[-1.1448980383574963, -5.0875891405595395], MIN
[0.8551019616425037, -5.828329881300281], MIN
[-0.14489803835749626, -4.494996547966947], MIN
[1.8551019616425037, -5.161663214633614], MIN
[-1.7698980383574963, -5.383885436855836], MIN
[0.23010196164250374, -4.050552103522503], MIN
[2.5095903407782316, 4.254415278944572], MAJ
[-2.4904096592217684, -2.412251387722094], MAJ
[7.509590340778232, -4.634473609944316], MAJ
[-8.740409659221768, 8.698859723389013], MAJ
[1.2595903407782316, 2.032193056722349], MAJ
[-3.7404096592217684, -6.856695832166539], MAJ
[-6.240409659221768, -0.19002916549987203], MAJ
[3.7595903407782316, -9.325831634635675], MAJ
[-1.2404096592217684, 4.0075016986976575], MAJ
[8.759590340778232, -2.6591649679690077], MAJ
[-9.365409659221768, -4.88138719019123], MAJ
[0.6345903407782316, 8.451946143142102], MAJ
[5.634590340778232, -7.1036094124134515], MAJ
[-6.865409659221768, 6.229723920919879], MAJ
[3.1345903407782316, -0.4369427457467856], MAJ
[-1.8654096592217684, -7.844350153154193], MAJ
[8.134590340778232, 5.488983180179138], MAJ
[-8.115409659221768, -1.1776834864875263], MAJ
[1.8845903407782316, -3.399905708709748], MAJ
[-3.1154096592217684, 9.933427624623583], MAJ
[6.884590340778232, 3.266760957956918], MAJ
[-5.615409659221768, -5.6221279309319705], MAJ
[4.384590340778232, 7.71120540240136], MAJ
[-0.6154096592217684, 1.0445387357346947], MAJ
[9.384590340778232, -8.585090893894932], MAJ
[-9.677909659221768, 4.7482424394384], MAJ
[0.3220903407782316, -1.918424227228267], MAJ
[-4.677909659221768, -4.1406464494504895], MAJ
[5.322090340778232, 9.19268688388284], MAJ
[-7.177909659221768, 2.526020217216176], MAJ
[2.8220903407782316, -6.362868671672713], MAJ
[-2.1779096592217684, 6.970464661660618], MAJ
[7.822090340778232, 0.3037979949939551], MAJ
[-8.427909659221768, -9.572745214882588], MAJ
[1.5720903407782316, 3.760588118450743], MAJ
[-3.4279096592217684, -2.9060785482159215], MAJ
[6.572090340778232, -5.128300770438143], MAJ
[-5.927909659221768, 8.20503256289519], MAJ
[4.072090340778232, 1.538365896228524], MAJ
[-0.9279096592217684, -7.350522992660366], MAJ
[9.072090340778232, 5.982810340672966], MAJ
[-9.052909659221768, -0.6838563259936992], MAJ
[0.9470903407782316, -8.091263733401107], MAJ
[-4.052909659221768, 5.242069599932226], MAJ
[5.947090340778232, -1.4245970667344399], MAJ
[-6.552909659221768, -3.646819288956662], MAJ
[3.4470903407782316, 9.686514044376668], MAJ
[-1.5529096592217684, 3.0198473777100032], MAJ
[8.447090340778232, -5.869041511178885], MAJ
[-7.802909659221768, 7.464291822154445], MAJ
[2.1970903407782316, 0.79762515548778], MAJ
[-2.8029096592217684, -8.832004474141847], MAJ
[7.197090340778232, 4.501328859191487], MAJ
[-5.302909659221768, -2.1653378074751806], MAJ
[4.697090340778232, -4.387560029697402], MAJ
[-0.3029096592217684, 8.945773303635928], MAJ
[9.697090340778232, 2.2791066369692636], MAJ
[-9.834159659221768, -6.609782251919625], MAJ
[0.16584034077823162, 6.723551081413706], MAJ
[-4.834159659221768, 0.056884414747040424], MAJ
[5.165840340778232, -9.901963321878473], MAJ
[-7.334159659221768, 3.4313700114548595], MAJ
[2.6658403407782316, -3.2352966552118065], MAJ
[-2.3341596592217684, -5.457518877434029], MAJ
[7.665840340778232, 7.875814455899304], MAJ
[-8.584159659221768, 1.2091477892326385], MAJ
[1.4158403407782316, -7.679741099656249], MAJ
[-3.5841596592217684, 5.653592233677081], MAJ
[6.415840340778232, -1.0130744329895847], MAJ
[-6.084159659221768, -8.420481840396992], MAJ
[-1.0841596592217684, -1.7538151737303254], MAJ
[8.915840340778232, -3.9760373959525475], MAJ
[-9.209159659221768, 9.357295937380785], MAJ
[0.7908403407782316, 2.69062927071412], MAJ
[-4.209159659221768, -6.1982596181747684], MAJ
[5.790840340778232, 7.135073715158562], MAJ
[-6.709159659221768, 0.46840704849189674], MAJ
[3.2908403407782316, -9.161222581137732], MAJ
[-1.7091596592217684, 4.172110752195602], MAJ
[8.290840340778232, -2.494555914471066], MAJ
[-7.959159659221768, -4.716778136693288], MAJ
[2.0408403407782316, 8.616555196640043], MAJ
[-2.9591596592217684, 1.9498885299733781], MAJ
[7.040840340778232, -6.939000358915511], MAJ
[-5.459159659221768, 6.39433297441782], MAJ
[4.540840340778232, -0.27233369224884396], MAJ
[-0.4591596592217684, -9.408136161384647], MAJ
[9.540840340778232, 3.9251971719486867], MAJ
[-9.521659659221768, -2.74146949471798], MAJ
[-4.521659659221768, 8.369641616393132], MAJ
[5.478340340778232, 1.7029749497264657], MAJ
[-7.021659659221768, -7.185913939162423], MAJ
[2.9783403407782316, 6.147419394170908], MAJ
[-2.0216596592217684, -0.5192472724957575], MAJ
[7.978340340778232, -7.926654679903164], MAJ
[-8.271659659221768, 5.406678653430168], MAJ
[1.7283403407782316, -1.2599880132364982], MAJ
[-3.2716596592217684, -3.4822102354587203], MAJ
[6.728340340778232, 9.851123097874613], MAJ
[4.228340340778232, -5.704432457680941], MAJ
[-0.7716596592217684, 7.6289008756523895], MAJ
[9.228340340778232, 0.9622342089857239], MAJ
[-8.896659659221768, -8.667395420643905], MAJ
[1.1033403407782316, 4.6659379126894285], MAJ
[-3.8966596592217684, -2.000728753977239], MAJ
[6.103340340778232, -4.222950976199461], MAJ
[-6.396659659221768, 9.11038235713387], MAJ
[3.6033403407782316, 2.4437156904672053], MAJ
[-1.3966596592217684, -6.445173198421683], MAJ
[8.603340340778232, 6.888160134911647], MAJ
[-7.646659659221768, 0.22149346824498428], MAJ
[2.3533403407782316, -9.65504974163156], MAJ
[-2.6466596592217684, 3.678283591701772], MAJ
[7.353340340778232, -2.988383074964893], MAJ
[-5.146659659221768, -5.210605297187114], MAJ
[4.853340340778232, 8.122728036146219], MAJ
[-0.14665965922176838, 1.4560613694795532], MAJ
[9.853340340778232, -7.432827519409337], MAJ
[-9.912284659221768, 5.900505813923996], MAJ
[0.08771534077823162, -0.7661608527426711], MAJ
[-4.912284659221768, -8.173568260150077], MAJ
[-7.412284659221768, -1.5069015934834118], MAJ
[2.5877153407782316, -3.729123815705634], MAJ
[-2.4122846592217684, 9.604209517627698], MAJ
[7.587715340778232, 2.9375428509610324], MAJ
[-8.662284659221768, -5.9513460379278555], MAJ
[1.3377153407782316, 7.381987295405475], MAJ
[-3.6622846592217684, 0.7153206287388092], MAJ
[6.337715340778232, -8.91430900089082], MAJ
[3.8377153407782316, -2.2476423342241523], MAJ
[8.837715340778232, 8.863468776886958], MAJ
[-9.287284659221768, 2.196802110220293], MAJ
[0.7127153407782316, -6.692086778668596], MAJ
[-4.287284659221768, 6.641246554664734], MAJ
[5.712715340778232, -0.025420112001930395], MAJ
[-6.787284659221768, -9.929398164128129], MAJ
[3.2127153407782316, 3.4039351692052033], MAJ
[-1.7872846592217684, -3.2627314974614627], MAJ
[8.212715340778232, -5.484953719683685], MAJ
[-8.037284659221768, 7.848379613649648], MAJ
[1.9627153407782316, 1.1817129469829823], MAJ
[-3.0372846592217684, -7.707175941905907], MAJ
[6.962715340778232, 5.626157391427425], MAJ
[-5.537284659221768, -1.0405092752392409], MAJ
[4.462715340778232, -8.447916682646648], MAJ
[-0.5372846592217684, 4.885416650686684], MAJ
[9.462715340778232, -1.7812500159799816], MAJ
[-9.599784659221768, -4.003472238202203], MAJ
[0.4002153407782316, 9.329861095131129], MAJ
[5.400215340778232, -6.225694460424426], MAJ
[-7.099784659221768, 7.107638872908906], MAJ
[2.9002153407782316, 0.44097220624224054], MAJ
[-2.0997846592217684, -9.188657423387388], MAJ
[7.900215340778232, 4.144675909945946], MAJ
[-8.349784659221768, -2.5219907567207223], MAJ
[-3.3497846592217684, 8.589120354390387], MAJ
[6.650215340778232, 1.922453687723722], MAJ
[-5.849784659221768, -6.966435201165167], MAJ
[4.150215340778232, 6.3668981321681635], MAJ
[-0.8497846592217684, -0.29976853449850016], MAJ
[9.150215340778232, -9.435571003634301], MAJ
[-8.974784659221768, 3.8977623296990305], MAJ
[1.0252153407782316, -2.768904336967636], MAJ
[-3.9747846592217684, -4.991126559189859], MAJ
[6.025215340778232, 8.342206774143474], MAJ
[-6.474784659221768, 1.6755401074768095], MAJ
[3.5252153407782316, -7.213348781412082], MAJ
[-1.4747846592217684, 6.1199845519212515], MAJ
[8.525215340778232, -0.5466821147454137], MAJ
[-7.724784659221768, -7.95408952215282], MAJ
[2.2752153407782316, 5.379243811180512], MAJ
[-2.7247846592217684, -1.2874228554861544], MAJ
[7.275215340778232, -3.5096450777083765], MAJ
[-5.224784659221768, 9.823688255624957], MAJ
[4.775215340778232, 3.157021588958291], MAJ
[9.775215340778232, 7.601466033402733], MAJ
[-9.756034659221768, 0.9347993667360677], MAJ
[0.24396534077823162, -8.69483026289356], MAJ
[-4.756034659221768, 4.638503070439772], MAJ
[5.243965340778232, -2.028163596226895], MAJ
[-7.256034659221768, -4.250385818449117], MAJ
[2.7439653407782316, 9.082947514884214], MAJ
[-2.2560346592217684, 2.416280848217549], MAJ
[7.743965340778232, -6.472608040671339], MAJ
[-8.506034659221768, 6.860725292661991], MAJ
[1.4939653407782316, 0.19405862599532808], MAJ
[-3.5060346592217684, -9.682484583881216], MAJ
[6.493965340778232, 3.650848749452116], MAJ
[-6.006034659221768, -3.0158179172145494], MAJ
[3.9939653407782316, -5.238040139436773], MAJ
[-1.0060346592217684, 8.095293193896563], MAJ
[8.993965340778232, 1.428626527229897], MAJ
[-9.131034659221768, -7.460262361658994], MAJ
[0.8689653407782316, 5.8730709716743394], MAJ
[-4.131034659221768, -0.7935956949923273], MAJ
[5.868965340778232, -8.201003102399735], MAJ
[-6.631034659221768, 5.132330230933599], MAJ
[3.3689653407782316, -1.534336435733068], MAJ
[-1.6310346592217684, -3.7565586579552903], MAJ
[8.368965340778232, 9.576774675378042], MAJ
[-7.881034659221768, 2.910108008711376], MAJ
[2.1189653407782316, -5.978780880177512], MAJ
[-2.8810346592217684, 7.354552453155819], MAJ
[7.118965340778232, 0.687885786489153], MAJ
[-5.381034659221768, -8.941743843140475], MAJ
[-0.3810346592217684, -2.2750771764738085], MAJ
[9.618965340778232, -4.497299398696031], MAJ
[-9.443534659221768, 8.836033934637301], MAJ
[0.5564653407782316, 2.1693672679706366], MAJ
[-4.443534659221768, -6.719521620918254], MAJ
[5.556465340778232, 6.613811712415078], MAJ
[-6.943534659221768, -0.052854954251586594], MAJ
[3.0564653407782316, -9.764789110630188], MAJ
[-1.9435346592217684, 3.568544222703145], MAJ
[8.056465340778232, -3.09812244396352], MAJ
[-8.193534659221768, -5.320344666185743], MAJ
[1.8064653407782316, 8.012988667147589], MAJ
[-3.1935346592217684, 1.346322000480924], MAJ
[6.806465340778232, -7.542566888407965], MAJ
[-5.693534659221768, 5.7907664449253655], MAJ
[4.306465340778232, -0.8759002217412981], MAJ
[-0.6935346592217684, -8.283307629148705], MAJ
[9.306465340778232, 5.050025704184627], MAJ
[-8.818534659221768, -1.6166409624820388], MAJ
[1.1814653407782316, -3.8388631847042607], MAJ
[-3.8185346592217684, 9.49447014862907], MAJ
[6.181465340778232, 2.8278034819624054], MAJ
[-6.318534659221768, -6.061085406926484], MAJ
[3.6814653407782316, 7.272247926406847], MAJ
[-1.3185346592217684, 0.6055812597401822], MAJ
[8.681465340778232, -9.024048369889448], MAJ
[-7.568534659221768, 4.309284963443886], MAJ
[2.4314653407782316, -2.3573817032227797], MAJ
[-2.5685346592217684, -4.579603925445001], MAJ
[7.431465340778232, 8.75372940788833], MAJ
[4.931465340778232, -6.801826147667224], MAJ
